Recency,Frequency,Monetary
650,2,230467
789,1,115035
726,1,109598
663,1,112147
770,1,111744
775,1,112617
760,1,112995
687,1,112147
791,1,116520
772,1,111744
661,1,112147
762,1,112995
762,1,112995
667,1,112147
762,1,112995
688,1,112147
669,1,11045
761,1,112995
761,1,112995
687,1,112147
648,1,110873
672,1,112147
762,1,112995
753,1,112995
790,1,118320
668,1,112147
775,1,114257
784,1,114475
728,1,120643
664,1,224294
694,1,109598
767,2,224361
741,2,299088
663,1,112147
663,1,112147
785,1,114475
768,1,112617
709,1,109598
687,1,112147
694,1,109598
780,1,114475
694,1,109598
770,1,111744
671,1,112147
724,1,114696
783,2,235715
688,1,112147
770,1,111744
782,1,115715
676,1,224294
673,1,102147
657,1,112147
688,1,112147
760,1,112995
674,1,112147
780,1,114475
747,1,186093
762,1,225990
656,1,112147
785,1,124384
762,1,112995
773,1,111744
778,1,114475
701,1,109598
677,1,112147
688,1,112147
773,1,112304
655,1,112147
751,1,112995
669,1,112147
790,1,468350
658,2,235339
668,1,112147
673,1,106147
681,1,112147
663,1,112147
780,1,115795
688,1,112147
675,1,112147
726,1,109598
725,1,114696
784,1,212187
774,1,11156
761,1,112995
730,1,109598
770,1,112617
791,1,115200
771,1,68094
780,1,114475
663,1,112147
713,1,109598
773,1,113664
762,1,112995
714,1,109598
666,1,11045
663,1,22090
760,1,112995
760,1,112995
652,1,112147
658,1,112147
653,1,112147
762,1,112995
780,1,114475
782,1,144202
769,1,112617
694,1,130272
696,1,51684
683,1,112147
687,1,112147
785,1,114475
767,1,112617
677,1,112147
761,1,112995
735,1,107973
663,1,22090
706,1,49088
673,1,112147
721,1,112147
761,1,112995
664,1,112147
676,1,134237
785,1,114475
657,1,112147
718,1,109598
741,1,225990
666,1,112147
774,1,113064
670,1,112147
759,1,187860
711,1,31010
663,1,112147
663,1,112147
668,1,123192
791,1,115200
670,1,112147
799,1,121480
663,1,123192
776,1,113977
733,1,109598
674,1,112147
664,1,112147
727,1,109598
654,1,123192
786,1,115955
760,1,221340
761,1,112995
664,1,123192
710,1,109598
759,1,112995
789,1,9909
680,1,112147
689,1,224294
658,1,123192
692,1,109598
693,1,10337
760,1,112995
791,1,117760
664,1,134237
669,1,112147
698,1,109598
726,1,11045
757,1,183954
688,1,112147
689,1,112147
664,1,112147
759,1,10741
648,1,110873
673,1,95147
665,1,112147
678,1,134237
688,1,112147
673,1,112147
688,1,112147
657,1,112147
660,1,112147
749,1,112995
759,1,112995
667,1,112147
699,1,109598
689,1,112147
706,1,219197
704,1,109598
659,1,112147
764,1,127167
672,1,112147
730,1,109598
803,1,120000
682,1,112147
649,1,254880
763,1,195261
672,1,112147
741,2,480903
679,1,112147
761,1,112995
755,1,181443
661,1,112147
652,1,112147
