Recency,Frequency,Monetary,Recency_Norm,Frequency_Norm,Monetary_Norm,Model K = 2,Model K = 3,Model K = 4,Model K = 5
650,2,230467,0.012345679012345734,0.045454545454545456,0.08899892954291637,1,1,1,1
789,1,115035,0.8703703703703702,0.0,0.04442281046730935,0,0,0,0
726,1,109598,0.48148148148148096,0.0,0.042323216252411616,1,2,2,4
663,1,112147,0.09259259259259256,0.0,0.04330755792130518,1,1,1,1
770,1,111744,0.7530864197530862,0.0,0.043151932306333,0,2,2,2
775,1,112617,0.7839506172839501,0.0,0.04348905677747622,0,0,0,0
760,1,112995,0.6913580246913575,0.0,0.04363502819797123,0,2,2,2
687,1,112147,0.24074074074074048,0.0,0.04330755792130518,1,1,3,3
791,1,116520,0.882716049382716,0.0,0.044996269619254015,0,0,0,0
772,1,111744,0.765432098765432,0.0,0.043151932306333,0,2,2,2
661,1,112147,0.08024691358024683,0.0,0.04330755792130518,1,1,1,1
762,1,112995,0.7037037037037033,0.0,0.04363502819797123,0,2,2,2
762,1,112995,0.7037037037037033,0.0,0.04363502819797123,0,2,2,2
667,1,112147,0.11728395061728403,0.0,0.04330755792130518,1,1,1,1
762,1,112995,0.7037037037037033,0.0,0.04363502819797123,0,2,2,2
688,1,112147,0.2469135802469129,0.0,0.04330755792130518,1,1,3,3
669,1,11045,0.12962962962962976,0.0,0.004265223120019401,1,1,1,1
761,1,112995,0.6975308641975309,0.0,0.04363502819797123,0,2,2,2
761,1,112995,0.6975308641975309,0.0,0.04363502819797123,0,2,2,2
687,1,112147,0.24074074074074048,0.0,0.04330755792130518,1,1,3,3
648,1,110873,0.0,0.0,0.04281558017074794,1,1,1,1
672,1,112147,0.14814814814814792,0.0,0.04330755792130518,1,1,3,3
762,1,112995,0.7037037037037033,0.0,0.04363502819797123,0,2,2,2
753,1,112995,0.6481481481481479,0.0,0.04363502819797123,0,2,2,2
790,1,118320,0.8765432098765427,0.0,0.04569137162161118,0,0,0,0
668,1,112147,0.12345679012345645,0.0,0.04330755792130518,1,1,1,1
775,1,114257,0.7839506172839501,0.0,0.04412237193517942,0,0,0,0
784,1,114475,0.8395061728395063,0.0,0.044206556511020456,0,0,0,0
728,1,120643,0.4938271604938267,0.0,0.04658843937243102,1,2,2,4
664,1,224294,0.09876543209876498,0.0,0.08661511584261036,1,1,1,1
694,1,109598,0.2839506172839501,0.0,0.042323216252411616,1,1,3,3
767,2,224361,0.734567901234568,0.045454545454545456,0.08664098908380921,0,2,2,2
741,2,299088,0.5740740740740735,0.045454545454545456,0.11549814871166705,0,2,2,2
663,1,112147,0.09259259259259256,0.0,0.04330755792130518,1,1,1,1
663,1,112147,0.09259259259259256,0.0,0.04330755792130518,1,1,1,1
785,1,114475,0.8456790123456788,0.0,0.044206556511020456,0,0,0,0
768,1,112617,0.7407407407407405,0.0,0.04348905677747622,0,2,2,2
709,1,109598,0.37654320987654266,0.0,0.042323216252411616,1,2,3,4
687,1,112147,0.24074074074074048,0.0,0.04330755792130518,1,1,3,3
694,1,109598,0.2839506172839501,0.0,0.042323216252411616,1,1,3,3
780,1,114475,0.8148148148148149,0.0,0.044206556511020456,0,0,0,0
694,1,109598,0.2839506172839501,0.0,0.042323216252411616,1,1,3,3
770,1,111744,0.7530864197530862,0.0,0.043151932306333,0,2,2,2
671,1,112147,0.1419753086419755,0.0,0.04330755792130518,1,1,1,1
724,1,114696,0.4691358024691352,0.0,0.044291899590198754,1,2,2,4
783,2,235715,0.833333333333333,0.045454545454545456,0.09102553804756659,0,0,0,0
688,1,112147,0.2469135802469129,0.0,0.04330755792130518,1,1,3,3
770,1,111744,0.7530864197530862,0.0,0.043151932306333,0,2,2,2
782,1,115715,0.8271604938271606,0.0,0.04468540455708873,0,0,0,0
676,1,224294,0.17283950617283939,0.0,0.08661511584261036,1,1,3,3
673,1,102147,0.15432098765432034,0.0,0.03944588013043203,1,1,3,3
657,1,112147,0.05555555555555536,0.0,0.04330755792130518,1,1,1,1
688,1,112147,0.2469135802469129,0.0,0.04330755792130518,1,1,3,3
760,1,112995,0.6913580246913575,0.0,0.04363502819797123,0,2,2,2
674,1,112147,0.16049382716049365,0.0,0.04330755792130518,1,1,3,3
780,1,114475,0.8148148148148149,0.0,0.044206556511020456,0,0,0,0
747,1,186093,0.6111111111111107,0.0,0.07186312051369582,0,2,2,2
762,1,225990,0.7037037037037033,0.0,0.08727005639594246,0,2,2,2
656,1,112147,0.049382716049382935,0.0,0.04330755792130518,1,1,1,1
785,1,124384,0.8456790123456788,0.0,0.048033093033996666,0,0,0,0
762,1,112995,0.7037037037037033,0.0,0.04363502819797123,0,2,2,2
773,1,111744,0.7716049382716044,0.0,0.043151932306333,0,2,2,2
778,1,114475,0.8024691358024691,0.0,0.044206556511020456,0,0,0,0
701,1,109598,0.3271604938271606,0.0,0.042323216252411616,1,1,3,4
677,1,112147,0.1790123456790118,0.0,0.04330755792130518,1,1,3,3
688,1,112147,0.2469135802469129,0.0,0.04330755792130518,1,1,3,3
773,1,112304,0.7716049382716044,0.0,0.04336818626262189,0,2,2,2
655,1,112147,0.043209876543209624,0.0,0.04330755792130518,1,1,1,1
751,1,112995,0.6358024691358022,0.0,0.04363502819797123,0,2,2,2
669,1,112147,0.12962962962962976,0.0,0.04330755792130518,1,1,1,1
790,1,468350,0.8765432098765427,0.0,0.18086167933554426,0,0,0,0
658,2,235339,0.06172839506172778,0.045454545454545456,0.09088033896262977,1,1,1,1
668,1,112147,0.12345679012345645,0.0,0.04330755792130518,1,1,1,1
