Recency,Frequency,Monetary,Model K = 2,Model K = 3,Model K = 4,Model K = 5
650,2,230467,1,1,1,1
789,1,115035,0,0,0,0
726,1,109598,1,2,2,4
663,1,112147,1,1,1,1
770,1,111744,0,2,2,2
775,1,112617,0,0,0,0
760,1,112995,0,2,2,2
687,1,112147,1,1,3,3
791,1,116520,0,0,0,0
772,1,111744,0,0,0,0
661,1,112147,1,1,1,1
762,1,112995,0,2,2,2
762,1,112995,0,2,2,2
667,1,112147,1,1,1,1
762,1,112995,0,2,2,2
688,1,112147,1,1,3,3
669,1,11045,1,1,1,1
761,1,112995,0,2,2,2
761,1,112995,0,2,2,2
687,1,112147,1,1,3,3
648,1,110873,1,1,1,1
672,1,112147,1,1,1,1
762,1,112995,0,2,2,2
753,1,112995,0,2,2,2
790,1,118320,0,0,0,0
668,1,112147,1,1,1,1
775,1,114257,0,0,0,0
784,1,114475,0,0,0,0
728,1,120643,1,2,2,4
664,1,224294,1,1,1,1
694,1,109598,1,1,3,3
767,2,224361,0,2,2,2
741,2,299088,0,2,2,2
663,1,112147,1,1,1,1
663,1,112147,1,1,1,1
785,1,114475,0,0,0,0
768,1,112617,0,2,2,2
709,1,109598,1,2,3,4
687,1,112147,1,1,3,3
694,1,109598,1,1,3,3
780,1,114475,0,0,0,0
694,1,109598,1,1,3,3
770,1,111744,0,2,2,2
671,1,112147,1,1,1,1
724,1,114696,1,2,2,4
783,2,235715,0,0,0,0
688,1,112147,1,1,3,3
770,1,111744,0,2,2,2
782,1,115715,0,0,0,0
676,1,224294,1,1,3,3
673,1,102147,1,1,1,1
657,1,112147,1,1,1,1
688,1,112147,1,1,3,3
760,1,112995,0,2,2,2
674,1,112147,1,1,1,1
780,1,114475,0,0,0,0
747,1,186093,0,2,2,2
762,1,225990,0,2,2,2
656,1,112147,1,1,1,1
785,1,124384,0,0,0,0
762,1,112995,0,2,2,2
773,1,111744,0,0,0,0
778,1,114475,0,0,0,0
701,1,109598,1,1,3,4
677,1,112147,1,1,3,3
688,1,112147,1,1,3,3
773,1,112304,0,0,0,0
655,1,112147,1,1,1,1
751,1,112995,0,2,2,2
669,1,112147,1,1,1,1
790,1,468350,0,0,0,0
658,2,235339,1,1,1,1
668,1,112147,1,1,1,1
673,1,106147,1,1,1,1
681,1,112147,1,1,3,3
663,1,112147,1,1,1,1
780,1,115795,0,0,0,0
688,1,112147,1,1,3,3
675,1,112147,1,1,1,1
726,1,109598,1,2,2,4
725,1,114696,1,2,2,4
